OrderID,CustomerID,ProductID,Quantity,Date and time of purchase,Delivery time,Delivery Status
1,247,58,1,20-05-2024 12:28,25-05-2024 12:28,Delivered
2,123,78,3,21-10-2024 01:43,23-10-2024 01:43,Delivered
3,45,2,3,16-03-2024 12:04,20-03-2024 12:04,Delivered
4,121,15,5,22-08-2024 14:00,29-08-2024 14:00,Delivered
5,53,75,3,28-05-2024 04:17,30-05-2024 04:17,Delivered
6,342,7,4,18-03-2024 21:31,21-03-2024 21:31,Delivered
7,328,43,4,09-08-2024 07:16,12-08-2024 07:16,Delivered
8,16,12,2,12-03-2024 19:47,18-03-2024 19:47,Delivered
9,192,49,1,05-04-2024 02:52,,Cancelled
10,453,18,3,21-04-2024 01:02,,Cancelled
11,298,76,3,17-04-2024 12:41,21-04-2024 12:41,Delivered
12,373,54,1,16-06-2024 08:30,21-06-2024 08:30,Delivered
13,87,2,1,23-09-2024 10:21,25-09-2024 10:21,Delivered
14,217,44,5,04-09-2024 13:14,,Cancelled
15,208,60,4,23-08-2024 16:58,26-08-2024 16:58,Delivered
16,409,38,4,16-03-2024 15:03,,Cancelled
17,321,14,2,11-04-2024 18:32,,Cancelled
18,220,29,3,06-09-2024 10:27,,Cancelled
19,109,41,2,07-06-2024 16:12,,Cancelled
20,233,18,3,13-08-2024 06:28,16-08-2024 06:28,Delivered
21,56,75,3,21-01-2024 21:05,24-01-2024 21:05,Delivered
22,18,27,2,05-03-2024 13:27,,Cancelled
23,12,31,3,02-04-2024 17:22,06-04-2024 17:22,Delivered
24,144,50,1,20-10-2024 16:56,27-10-2024 16:56,Delivered
25,202,2,1,11-01-2024 11:18,,Cancelled
26,227,10,4,28-10-2024 06:36,31-10-2024 06:36,Delivered
27,18,30,3,11-02-2024 00:39,15-02-2024 00:39,Delivered
28,55,78,2,07-05-2024 19:05,10-05-2024 19:05,Delivered
29,293,63,4,23-02-2024 20:30,27-02-2024 20:30,Delivered
30,287,37,5,04-03-2024 20:29,09-03-2024 20:29,Delivered
31,372,41,1,13-04-2024 19:33,19-04-2024 19:33,Delivered
32,11,68,5,26-02-2024 14:36,04-03-2024 14:36,Delivered
33,129,32,4,20-08-2024 08:46,,Cancelled
34,16,70,2,02-08-2024 12:30,09-08-2024 12:30,Delivered
35,403,34,2,31-08-2024 04:01,,Cancelled
36,416,65,5,06-06-2024 23:49,10-06-2024 23:49,Delivered
37,142,36,3,28-10-2024 10:19,01-11-2024 10:19,Delivered
38,315,49,3,16-10-2024 11:55,19-10-2024 11:55,Delivered
39,393,63,3,15-07-2024 08:38,18-07-2024 08:38,Delivered
40,23,28,4,25-01-2024 18:19,29-01-2024 18:19,Delivered
41,391,9,3,09-10-2024 03:32,15-10-2024 03:32,Delivered
42,454,16,2,18-10-2024 18:14,25-10-2024 18:14,Delivered
43,103,15,1,01-07-2024 14:57,03-07-2024 14:57,Delivered
44,368,42,1,06-06-2024 12:45,,Cancelled
45,329,63,4,24-01-2024 14:28,26-01-2024 14:28,Delivered
46,221,80,5,13-07-2024 06:08,17-07-2024 06:08,Delivered
47,51,15,4,17-06-2024 01:01,,Cancelled
48,103,25,4,01-10-2024 06:28,08-10-2024 06:28,Delivered
49,294,19,3,26-09-2024 12:14,,Cancelled
50,358,58,2,12-02-2024 20:26,14-02-2024 20:26,Delivered
51,162,74,4,20-01-2024 05:00,26-01-2024 05:00,Delivered
52,35,37,2,31-07-2024 02:12,06-08-2024 02:12,Delivered
53,278,23,3,04-05-2024 06:45,08-05-2024 06:45,Delivered
54,416,31,2,10-09-2024 12:52,12-09-2024 12:52,Delivered
55,247,6,5,16-01-2024 04:56,23-01-2024 04:56,Delivered
56,137,13,2,11-09-2024 09:54,14-09-2024 09:54,Delivered
57,265,26,3,28-03-2024 20:53,02-04-2024 20:53,Delivered
58,292,64,1,19-03-2024 01:37,22-03-2024 01:37,Delivered
59,43,73,4,15-03-2024 05:40,21-03-2024 05:40,Delivered
60,172,54,5,02-02-2024 04:49,07-02-2024 04:49,Delivered
61,143,10,5,19-08-2024 11:35,,Cancelled
62,122,24,5,16-07-2024 14:17,18-07-2024 14:17,Delivered
63,97,50,2,01-01-2024 03:16,,Cancelled
64,152,66,4,02-11-2024 03:25,05-11-2024 03:25,Delivered
65,425,56,4,10-05-2024 21:36,12-05-2024 21:36,Delivered
66,68,54,2,17-06-2024 16:33,,Cancelled
67,325,47,2,14-08-2024 12:55,,Cancelled
68,22,18,3,02-02-2024 05:22,,Cancelled
69,129,72,1,06-09-2024 08:13,12-09-2024 08:13,Delivered
70,410,55,5,04-10-2024 04:42,11-10-2024 04:42,Delivered
71,269,49,2,19-03-2024 08:03,,Cancelled
72,412,11,1,03-09-2024 21:16,10-09-2024 21:16,Delivered
73,232,50,1,13-05-2024 00:19,15-05-2024 00:19,Delivered
74,306,7,3,21-10-2024 07:12,25-10-2024 07:12,Delivered
75,51,5,4,20-08-2024 19:13,27-08-2024 19:13,Delivered
76,62,29,3,13-07-2024 20:49,15-07-2024 20:49,Delivered
77,202,22,4,10-04-2024 12:03,,Cancelled
78,430,78,2,29-10-2024 20:30,,Cancelled
79,12,43,5,17-05-2024 05:04,,Cancelled
80,438,38,1,04-10-2024 05:29,10-10-2024 05:29,Delivered
81,325,70,1,30-03-2024 06:09,02-04-2024 06:09,Delivered
82,198,28,4,06-03-2024 20:02,,Cancelled
83,11,6,2,22-03-2024 01:17,24-03-2024 01:17,Delivered
84,409,77,2,05-05-2024 17:31,,Cancelled
85,445,7,3,24-10-2024 01:35,26-10-2024 01:35,Delivered
86,442,43,1,10-07-2024 10:13,15-07-2024 10:13,Delivered
87,409,18,5,12-02-2024 00:48,,Cancelled
88,361,10,5,15-10-2024 14:16,,Cancelled
89,427,69,5,19-09-2024 11:42,23-09-2024 11:42,Delivered
90,172,63,3,15-06-2024 12:53,21-06-2024 12:53,Delivered
91,69,59,1,13-04-2024 01:14,19-04-2024 01:14,Delivered
92,167,66,5,03-10-2024 16:20,05-10-2024 16:20,Delivered
93,48,18,4,07-10-2024 21:42,14-10-2024 21:42,Delivered
94,344,17,1,15-09-2024 20:33,22-09-2024 20:33,Delivered
95,2,38,1,06-05-2024 04:20,10-05-2024 04:20,Delivered
96,229,54,5,12-01-2024 00:54,,Cancelled
97,275,47,5,12-03-2024 18:34,17-03-2024 18:34,Delivered
98,429,57,3,23-05-2024 08:47,26-05-2024 08:47,Delivered
99,397,20,3,14-02-2024 12:15,19-02-2024 12:15,Delivered
100,71,51,2,06-08-2024 22:37,10-08-2024 22:37,Delivered
101,16,5,2,24-07-2024 00:15,26-07-2024 00:15,Delivered
102,443,43,2,18-03-2024 08:47,20-03-2024 08:47,Delivered
103,185,1,3,25-10-2024 07:11,,Cancelled
104,265,44,4,29-09-2024 12:55,,Cancelled
105,179,45,2,23-05-2024 01:49,28-05-2024 01:49,Delivered
106,239,59,4,14-06-2024 04:02,17-06-2024 04:02,Delivered
107,394,36,5,13-09-2024 14:16,16-09-2024 14:16,Delivered
108,252,6,1,02-03-2024 20:57,05-03-2024 20:57,Delivered
109,183,79,1,24-04-2024 19:08,27-04-2024 19:08,Delivered
110,107,66,3,27-03-2024 12:48,01-04-2024 12:48,Delivered
111,338,11,1,12-08-2024 16:46,18-08-2024 16:46,Delivered
112,114,63,2,12-10-2024 02:16,14-10-2024 02:16,Delivered
